Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa,drug,cnet,dose
1,38.2533,-88.1553,190.179,250.01,204.36,190.84,59.17,654.62,249.11,313.55,394.914,81.3607,404.61,0.0830157,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236,chlorpromazine,34.5,2
2,46.2826,-88.1643,348.388,238.46,191.48,177.47,60.99,788.76,344.16,148.918,222.264,73.338,550.3,0.0941546,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088,chlorpromazine,34.5,2
4,41.2259,-88.1669,288.858,301.79,239.37,220.11,81.68,694.54,282.81,262.088,347.811,85.7146,392.75,0.0791302,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312,chlorpromazine,34.5,2
5,37.1638,-88.1464,168.249,297.09,244.5,227.44,69.65,823.94,367.69,129.735,196.349,66.6081,526.85,0.076978,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413,chlorpromazine,34.5,2
6,41.5586,-87.8263,317.169,343.68,262.49,231.82,111.86,839.13,388.72,137.041,215.094,78.0442,495.45,0.0873914,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117,chlorpromazine,34.5,2
9,38.5875,-87.8821,167.906,268.21,214.29,200.03,68.18,649.76,250.11,324.976,402.903,77.9249,381.55,0.0700606,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955,chlorpromazine,34.5,2
10,33.03,-87.8541,161.111,224.34,175.29,160.78,63.56,779.3,319.33,147.097,221.672,74.5693,554.96,0.0912444,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509,chlorpromazine,34.5,2
14,38.1915,-87.7515,216.052,245.48,196.55,182.7,62.78,642.42,244,336.816,419.955,83.1359,396.94,0.0842119,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432,chlorpromazine,34.5,2
20,41.0263,-87.7377,232.046,437.37,320.63,289.06,148.31,740.33,321.03,234.943,311.061,76.1095,302.96,0.0502227,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439,chlorpromazine,34.5,2
22,37.4929,-88.1531,212.546,277.01,217.93,203.46,73.55,674.77,265.13,277.421,357.119,79.6944,397.76,0.0851367,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187,chlorpromazine,34.5,2
24,43.3421,-87.7551,320.737,244.87,186.67,172.32,72.55,758.93,322.46,170.989,245.894,74.8966,514.06,0.0851512,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469,chlorpromazine,34.5,2
27,42.5647,-87.9035,311.827,428.4,321.33,289.39,139.01,803.86,378.2,176.908,250.134,73.2159,375.46,0.0625685,0,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372,chlorpromazine,34.5,2
28,44.0332,-88.1201,302.276,424.27,317.96,287.73,136.54,850.45,409.76,143.494,214.444,70.9422,426.18,0.0625875,0,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375,chlorpromazine,34.5,2
29,39.3662,-88.0578,247.19,303.2,235.91,216.84,86.36,636.18,241.11,360.007,449.536,89.5234,332.98,0.0860566,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049,chlorpromazine,34.5,2
31,41.0309,-88.1655,231.551,359.97,275.54,252.76,107.21,705.16,287.44,260.962,343.008,82.0385,345.19,0.0644357,0,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411,chlorpromazine,34.5,2
