"","dose","beat","qNet","dvdtmax","vmax","vrest","APD50","APD90","max_dv","camax","carest","CaTD50","CaTD90","EADs","noDepols","noRepols","drug","sample"
"31",7,948,32.082937544483,72.522505612562,41.7617144570225,-88.0343161921785,408,535,-0.180827350819597,0.000213773495062544,7.2914250756743e-05,422,863,0,0,0,"bepridil",4
"32",8,935,30.9031539020775,72.4358501664964,41.7139889367435,-88.0362371839894,418,551,-0.166837872587381,0.000210791635607932,7.26307882659505e-05,432,876,0,0,0,"bepridil",4
"33",9,865,29.9700859837544,72.3445965085796,41.6551272572601,-88.0380350795414,426,565,-0.155397269613556,0.00020807776286795,7.23660339223589e-05,443,888,0,0,0,"bepridil",4
"34",10,1000,29.2306526245831,72.2491011352842,41.5879647526208,-88.0397284910042,434,578,-0.14588504305284,0.000205591444020756,7.21175859927687e-05,452,900,0,0,0,"bepridil",4
"35",15,972,27.3682614556571,71.7150691695104,41.1717846724517,-88.0470501664268,466,630,-0.115032348659716,0.000195901840244813,7.10959498076407e-05,491,943,0,0,0,"bepridil",4
"36",20,1000,27.1357417916139,71.1037662806926,40.6950998072667,-88.0531280033062,488,665,-0.0983131988524465,0.000189291932764537,7.03448864891981e-05,518,974,0,0,0,"bepridil",4
"37",25,1000,27.634530025683,70.4325095446755,40.2007024877772,-88.0584112177904,505,689,-0.0884257921377515,0.000184569777410337,6.97736113643344e-05,537,996,0,0,0,"bepridil",4
"38",1,960,53.3618982007443,72.8575122333692,41.6509348575455,-88.018124567556,297,368,-0.287526805997863,0.000238213611906245,7.47830850917738e-05,330,754,0,0,0,"bepridil",5
"39",2,959,44.9545805506144,72.797518077112,41.6563893426062,-88.0214068271358,331,416,-0.250936055272755,0.000235088129699222,7.4619631181716e-05,352,778,0,0,0,"bepridil",5
"40",3,970,39.4795950577007,72.723729767282,41.8076969589096,-88.0242803454035,356,453,-0.228019249342867,0.000231329892375859,7.43370300231659e-05,369,799,0,0,0,"bepridil",5
