Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa,drug,cnet,dose
45,44.082,-88.1202,271.972,277.19,233.13,216.68,60.51,694.92,284.14,256.726,336.748,80.0157,417.73,0.0423076,0,0,45,1.43603,1.45633,0.89132,1.44239,0.996105,1.05435,0.880786,1.45477,1.41733,chlorpromazine,34.5,2
46,44.3124,-88.0227,264.757,320.58,262.36,240.09,80.49,819.81,376.74,144.293,214.567,70.266,499.23,0.0415217,0,0,46,0.520555,1.18902,0.568774,0.991482,1.14652,0.977829,1.29345,1.07875,1.22147,chlorpromazine,34.5,2
48,40.9784,-88.1648,277.229,389.24,317.51,285.82,103.42,850.25,403.33,145.461,221.915,76.4454,461.01,0.0325299,0,0,48,0.875811,1.32957,1.44533,0.703702,0.692465,0.925904,0.760407,1.47106,0.727905,chlorpromazine,34.5,2
49,39.6433,-87.7888,250.538,222.61,177.7,163.07,59.54,650.19,246.06,314.125,403.536,89.4052,427.58,0.0927881,0,0,49,0.75049,0.502431,0.726344,1.24037,0.723578,0.90769,0.592332,0.562983,0.845769,chlorpromazine,34.5,2
50,42.7327,-87.9983,263.889,332.67,269.2,245.06,87.61,813.51,370.98,153.522,227.969,74.4372,480.84,0.0439192,0,0,50,1.10142,1.2227,0.61558,0.97047,0.559653,0.783285,0.996599,0.947879,0.923251,chlorpromazine,34.5,2
52,39.8808,-87.9868,264.499,329.78,249.43,225.05,104.73,777.01,340.8,174.498,252.372,77.8645,447.23,0.0747767,0,0,52,1.19088,0.562246,1.10254,0.686676,1.3672,0.508798,0.849273,0.852379,0.803879,chlorpromazine,34.5,2
54,41.7557,-87.7577,246.315,305.43,257.36,236.2,69.23,645.47,249.49,352.467,438.822,86.3487,340.04,0.0401058,0,0,54,0.627448,1.43951,0.681484,1.089,0.820124,1.48235,0.819086,0.624393,1.16368,chlorpromazine,34.5,2
56,40.4809,-87.8474,252.201,253.95,211.66,196.13,57.82,725.73,301.43,208.705,285.469,76.7574,471.78,0.063862,0,0,56,1.28009,1.13011,1.13133,1.39828,0.864782,1.1005,1.05654,0.726855,1.10836,chlorpromazine,34.5,2
58,40.6086,-88.1599,277.273,363.88,294.3,263.8,100.08,803.6,366.41,172.643,255.286,82.6316,439.72,0.0399295,0,0,58,1.3071,1.36214,1.46698,0.746865,0.842035,0.913154,0.565496,1.42991,0.60293,chlorpromazine,34.5,2
59,38.0705,-87.834,252.213,303.41,249.98,227.59,75.82,754.35,324.68,193.957,273.216,79.2496,450.94,0.0747595,0,0,59,1.45838,0.622397,1.42167,0.807756,0.579167,1.26232,0.876798,0.648329,0.768789,chlorpromazine,34.5,2
60,41.5356,-88.0447,266.53,280.83,236.14,219.09,61.74,673.44,268.95,289.887,373.027,83.1339,392.61,0.0504647,0,0,60,1.01102,1.32426,1.46153,1.33618,0.736779,1.08528,0.80661,1.18583,1.23575,chlorpromazine,34.5,2
65,41.9348,-88.1685,275.736,369.21,295.04,267.98,101.23,875.81,419.67,119.469,187.406,67.9314,506.6,0.0370673,0,0,65,0.597041,1.19478,1.34353,0.742339,1.41369,0.700464,1.28035,1.4744,1.0796,chlorpromazine,34.5,2
67,38.3011,-87.8363,251.582,317.36,259.97,233.55,83.81,845.85,388.33,128.208,201.575,73.3593,528.49,0.0762952,0,0,67,0.655703,0.569071,0.931223,0.645672,0.811354,1.41718,0.94074,0.609107,0.610051,chlorpromazine,34.5,2
71,39.7907,-88.0535,268.22,353.18,285.94,255.44,97.74,760.15,332.37,206.811,290.952,84.129,406.97,0.0499564,0,0,71,0.980899,1.12461,1.49458,0.614746,1.42961,1.18317,0.61743,1.10755,0.685777,chlorpromazine,34.5,2
72,41.5626,-87.9752,263.235,224.82,181.9,166.88,57.94,665.42,256.01,287.04,375.88,88.833,440.6,0.0875815,0,0,72,1.48705,0.689768,0.575912,1.28468,1.11181,1.06974,0.553596,0.883968,0.863387,chlorpromazine,34.5,2
73,40.8854,-88.1306,274.67,330.45,268.45,241.2,89.25,796.5,357.88,168.834,251.363,82.5179,466.05,0.0534076,0,0,73,1.07437,1.17653,1.11786,0.812574,0.797394,1.06731,0.563166,1.3174,0.592015,chlorpromazine,34.5,2
75,40.8224,-88.0216,264.305,357.28,298.58,271.56,85.72,742.51,321.19,226.4,306.092,79.6827,385.23,0.0450694,0,0,75,1.15215,0.975055,1.42687,0.691454,0.954387,1.44622,0.898104,1.09924,1.06717,chlorpromazine,34.5,2
76,43.7092,-88.0025,263.224,293.35,236.21,217.79,75.56,758.77,329.63,183.883,258.018,74.1256,465.42,0.0542573,0,0,76,1.48942,1.01426,0.555402,1.18462,0.915158,0.630117,1.1537,0.958074,1.26603,chlorpromazine,34.5,2
78,43.1337,-87.8766,254.823,341.04,276.61,250.79,90.25,821.35,380.08,147.147,217.797,70.6407,480.31,0.0373034,0,0,78,1.296,1.2811,0.619966,0.841006,1.33993,1.01765,1.35768,0.768192,1.09349,chlorpromazine,34.5,2
81,41.1664,-87.9477,259.601,301.56,253.41,234.13,67.43,638.81,245.83,361.219,447.227,86.0021,337.25,0.05753,0,0,81,0.616233,0.87881,1.29598,1.05079,0.518964,1.26965,0.789057,0.931004,1.30285,chlorpromazine,34.5,2
82,43.6311,-87.9935,264.124,365.41,292.36,265.76,99.65,724.94,307.71,246.079,326.334,80.2458,359.53,0.0397021,0,0,82,1.4347,1.00624,0.548337,0.76774,0.856035,0.774059,0.930421,0.96903,1.20234,chlorpromazine,34.5,2
84,43.3938,-88.1277,273.154,295.14,247.68,229.61,65.53,632.63,240.98,374.116,460.926,86.8054,337.49,0.0427942,0,0,84,1.0445,1.29363,1.13852,1.27299,0.703027,1.04413,0.696841,1.47964,1.47594,chlorpromazine,34.5,2
85,39.3048,-88.071,271.027,325.02,252.6,228.2,96.82,834.99,380.53,133.135,207.34,74.1976,509.97,0.0769394,0,0,85,0.508757,0.629764,1.43185,0.777197,0.617295,0.578645,0.85176,1.04329,0.663449,chlorpromazine,34.5,2
86,42.3222,-87.905,256.226,264.73,218.98,202.91,61.82,771.06,335.34,165.692,237.171,71.4714,506.33,0.0592652,0,0,86,0.845667,1.06764,0.800064,1.37878,0.795554,0.931672,1.31395,0.817599,1.25278,chlorpromazine,34.5,2
88,42.6716,-88.1107,272.183,378.02,306.08,278.04,99.98,741.92,322.09,229.256,306.531,77.2669,363.9,0.0380137,0,0,88,0.786113,0.917423,1.30085,0.609305,1.40175,1.02385,1.03424,1.39202,1.39132,chlorpromazine,34.5,2
90,41.3041,-88.1395,275.494,222.1,180.46,167.21,54.89,713.25,287.46,214.996,295.558,80.5561,491.15,0.0935638,0,0,90,1.16236,0.539142,1.23116,1.43133,0.638485,0.856884,0.73382,1.37272,1.01218,chlorpromazine,34.5,2
91,43.2697,-88.0668,268.647,424.86,331.34,299.78,125.08,706.41,278,295.126,377.221,82.0865,281.55,0.0225208,0,0,91,0.664806,1.15245,0.942913,0.65246,0.834106,0.518517,0.91338,1.10404,1.3622,chlorpromazine,34.5,2
92,42.5725,-88.0143,264.712,386.69,315.75,284.06,102.63,850.38,406.4,142.028,213.534,71.4969,463.69,0.0489372,0,0,92,0.925635,0.69504,0.69203,0.571745,0.744865,1.22244,1.17303,1.01389,1.02304,chlorpromazine,34.5,2
95,41.763,-87.914,255.934,307.85,258.92,239.68,68.17,738.04,321.78,206.45,279.428,72.9706,430.19,0.054161,0,0,95,1.36897,0.779578,1.22386,0.992425,1.04059,1.33547,1.40675,0.897374,1.4849,chlorpromazine,34.5,2
96,40.1127,-87.9184,258.022,425.12,332.52,299.01,126.11,709.63,282.4,289.978,373.534,83.5461,284.51,0.030763,0,0,96,0.952975,1.14575,1.48602,0.620709,0.74195,0.549433,0.889014,0.777914,1.06883,chlorpromazine,34.5,2
97,39.3316,-87.9228,258.425,236.93,193.71,177.42,59.51,638.81,241.43,339.374,431.834,92.4532,401.88,0.0824661,0,0,97,0.544263,0.848014,1.33367,1.19047,1.35112,1.20634,0.525871,0.807098,0.821614,chlorpromazine,34.5,2
99,42.1044,-87.9907,262.917,285.63,234.83,215.04,70.59,822.8,370.88,135.942,207.542,71.5919,537.17,0.0644992,0,0,99,1.48017,0.892554,0.642486,1.05764,0.752089,1.11378,1.08344,0.951435,0.942444,chlorpromazine,34.5,2
100,43.9576,-88.1207,273.257,379.09,306.13,275.86,103.23,739.14,315.05,239.268,320.208,80.9308,360.05,0.0272009,0,0,100,1.14082,1.26822,0.805145,0.626923,1.45699,1.10822,0.809773,1.41503,1.19048,chlorpromazine,34.5,2
101,40.702,-87.8329,251.944,251.33,206.66,192.09,59.24,683.96,274.75,259.035,337.319,78.2793,432.63,0.0760619,0,0,101,1.00608,0.615604,1.13543,1.26457,1.2786,0.957549,1.07681,0.695913,1.32805,chlorpromazine,34.5,2
102,40.3953,-87.9693,260.895,298.79,237.98,219.34,79.45,677.14,272.11,283.17,365.361,82.1847,378.35,0.0637785,0,0,102,0.809507,0.865092,1.47859,1.03856,1.2401,0.574524,0.890809,0.872975,1.18643,chlorpromazine,34.5,2
103,40.8458,-87.9575,259.351,237.2,196.27,181.92,55.28,808.29,353.57,131.818,200.265,68.4403,571.09,0.0732136,0,0,103,0.676695,0.945765,1.09453,1.45831,1.13446,1.02982,1.30862,0.902624,1.10015,chlorpromazine,34.5,2
104,40.967,-87.7807,247.846,348.14,292.98,268.79,79.35,656.51,256.5,343.991,426.472,82.4746,308.37,0.0317133,0,0,104,0.724483,1.31644,1.28043,0.8829,0.924278,1.36316,1.05861,0.679227,1.38612,chlorpromazine,34.5,2
105,39.5309,-87.9361,260.899,239.24,184.73,169.24,70,746.1,308.25,182.022,261.109,79.0792,506.86,0.0924869,0,0,105,0.698118,0.527181,0.986412,1.20201,0.721444,0.504026,0.776807,0.740234,0.778896,chlorpromazine,34.5,2
106,40.735,-88.1236,273.295,386.47,316.09,280.35,106.12,741.91,312.1,246.52,334.731,88.1976,355.44,0.0371576,0,0,106,1.01513,1.23057,1.47343,0.509884,1.31481,1.43409,0.520584,1.37788,0.724329,chlorpromazine,34.5,2
107,43.7627,-88.0517,266.932,242.8,200.17,185.98,56.82,771.96,332,160.961,232.983,72.0142,529.16,0.0732178,0,0,107,0.865952,0.747715,0.523129,1.48583,0.504129,0.894979,1.14772,1.12539,1.28481,chlorpromazine,34.5,2
108,42.217,-88.0452,266.36,328.38,271.6,248.87,79.51,775.2,344.59,183.216,259.198,75.9732,446.82,0.0337796,0,0,108,1.21957,1.47982,1.10937,1.03033,0.942208,0.983189,0.998464,1.14726,1.08781,chlorpromazine,34.5,2
110,41.3393,-88.116,270.986,258.9,209.51,194.29,64.61,824.38,367.61,124.523,191.73,67.2009,565.48,0.0719235,0,0,110,0.590524,0.858706,1.31048,1.35847,1.08113,0.611643,1.34695,1.2369,1.16978,chlorpromazine,34.5,2
111,39.7186,-87.8235,252.449,374.67,297.46,264.91,109.76,823.19,380.98,155.091,230.732,75.6308,448.52,0.0531002,0,0,111,0.702169,0.875683,0.826757,0.567886,1.03236,0.946625,0.976749,0.619256,0.735471,chlorpromazine,34.5,2
112,41.9292,-88.1426,274.081,322.7,266.32,242.15,80.55,856.8,399.71,124.072,194.639,70.5596,534.1,0.0555906,0,0,112,0.997499,0.962612,1.04206,0.783994,1.39063,1.31242,1.03694,1.44511,0.927736,chlorpromazine,34.5,2
113,41.3059,-87.9184,257.899,396.98,323.19,290.58,106.4,711,289.41,279.135,360.247,81.1026,314.02,0.0373932,0,0,113,0.889764,0.925772,1.20248,0.503982,1.30399,1.25974,0.984139,0.862762,1.23091,chlorpromazine,34.5,2
114,42.7437,-88.0338,265.701,353.85,296.95,272.95,80.9,710.18,296.32,264.637,344.961,80.3165,356.33,0.0348793,0,0,114,0.609325,1.1182,1.05403,0.892502,0.542754,1.21816,0.945928,1.16281,1.32442,chlorpromazine,34.5,2
115,40.0424,-87.9606,260.235,333.23,275.18,252.51,80.72,849.23,397.69,126.848,194.726,67.8709,516,0.051668,0,0,115,1.06938,0.988525,1.38453,0.936753,0.588276,0.935212,1.4364,0.908824,1.0301,chlorpromazine,34.5,2
119,38.8979,-87.709,243.782,300,250.71,230.32,69.68,756.03,328.83,189.553,264.215,74.6538,456.03,0.0592524,0,0,119,0.930635,0.95262,1.27305,1.01038,0.604925,1.28492,1.24013,0.544328,1.00684,chlorpromazine,34.5,2
121,41.5813,-87.8401,251.83,264.13,211.36,194.28,69.85,639.3,244,347.735,435.224,87.4847,375.17,0.0548224,0,0,121,0.917,1.41491,0.727739,1.36217,1.42256,0.592624,0.717898,0.644372,1.11268,chlorpromazine,34.5,2
122,42.4211,-88.1635,277.383,373.74,299.09,268.48,105.26,782.42,351.45,191.424,270.82,79.3862,408.68,0.0481946,0,0,122,0.578183,0.884188,1.02691,0.578784,1.1736,1.00906,0.75672,1.49817,0.951782,chlorpromazine,34.5,2
124,42.6921,-87.8486,252.263,388.54,324.83,295.74,92.8,683.37,267.18,319.397,400.504,81.0988,294.83,0.0180697,0,0,124,1.09325,1.37366,0.912212,0.726496,0.934507,1.38827,1.10113,0.786974,1.447,chlorpromazine,34.5,2
125,41.0534,-87.8738,255.426,424.98,337.54,303.24,121.74,718.76,294.76,275.388,354.619,79.2221,293.78,0.0290105,0,0,125,0.772684,1.03002,1.33915,0.540117,1.09935,0.819233,1.15443,0.770623,1.31686,chlorpromazine,34.5,2
126,42.0006,-88.0462,266.109,279.02,230.27,212.5,66.52,794.75,351.55,153.046,225.628,72.574,515.73,0.0512074,0,0,126,1.41273,1.34619,1.05067,1.32468,0.884545,0.862863,1.09612,1.11144,1.07781,chlorpromazine,34.5,2
127,40.7041,-88.1036,272.262,218.53,176.22,162.15,56.38,786.58,333.62,145.179,219.787,74.6013,568.05,0.0868034,0,0,127,1.36448,0.871053,1.1704,1.48263,1.07193,0.825449,0.826569,1.20331,0.824677,chlorpromazine,34.5,2
128,42.3035,-87.9873,261.775,305.73,254.4,233.89,71.84,786.35,351.81,164.639,236.511,71.8636,480.62,0.0499618,0,0,128,0.909111,1.048,1.00444,0.985587,1.33116,1.25336,1.26316,1.02673,1.2439,chlorpromazine,34.5,2
129,43.143,-88.1081,269.433,342.54,277.24,254.73,87.81,828.67,386.77,140.366,208.817,68.4436,486.13,0.0304136,0,0,129,1.27613,1.38285,1.1573,1.01834,1.15192,0.625809,1.45996,1.25637,1.34912,chlorpromazine,34.5,2
135,40.1116,-87.8387,252.854,309.98,255.33,231.85,78.13,662.58,259.21,320.416,410.508,90.0822,352.6,0.0641563,0,0,135,1.35573,0.835445,0.845418,0.818688,0.713993,1.32377,0.624388,0.665588,0.840172,chlorpromazine,34.5,2
